         31 function calls in 4.962 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.962    4.962 /workspace/hgbdt_performance_analysis/sandwich_fused_kernels/benchmark_sandwich.py:130(<lambda>)
        1    0.092    0.092    4.961    4.961 /workspace/hgbdt_performance_analysis/sandwich_fused_kernels/kernels/numba_kernels.py:119(sandwich_numba)
        1    4.869    4.869    4.869    4.869 /workspace/hgbdt_performance_analysis/sandwich_fused_kernels/kernels/numba_kernels.py:39(sandwich_numba_blocked)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 /home/ubuntu/.cache/uv/archive-v0/su17AE4Ez-BcXfVf/lib/python3.11/site-packages/numpy/lib/_index_tricks_impl.py:31(ix_)
        1    0.000    0.000    0.000    0.000 /home/ubuntu/.cache/uv/archive-v0/su17AE4Ez-BcXfVf/lib/python3.11/site-packages/numba/core/serialize.py:30(_numba_unpickle)
        2    0.000    0.000    0.000    0.000 /home/ubuntu/.cache/uv/archive-v0/su17AE4Ez-BcXfVf/lib/python3.11/site-packages/numpy/_core/numerictypes.py:475(issubdtype)
        4    0.000    0.000    0.000    0.000 /home/ubuntu/.cache/uv/archive-v0/su17AE4Ez-BcXfVf/lib/python3.11/site-packages/numpy/_core/numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.ascontiguousarray}
        1    0.000    0.000    0.000    0.000 /home/ubuntu/.cache/uv/archive-v0/su17AE4Ez-BcXfVf/lib/python3.11/site-packages/numpy/lib/_index_tricks_impl.py:27(_ix__dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}


